timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27
15:40:14.580658,-49519.046875,-65342.90234375,-54049.984375,-57282.1015625,301751.875,-42222.10546875,-46246.3359375,-47651.9140625,-25462.08984375,-21799.357421875,-4192.9541015625,-26768.6875,-41415.05859375,174457.53125,198603.90625,46793.90234375,-2267.34619140625,237904.875,227495.625,177221.78125,40606.49609375,40668.7265625,696046.0,695932.0625,0.0,0.0,0.0
15:40:14.581633,-49532.01171875,-65471.03125,-56078.1484375,-56997.140625,295867.21875,-42741.5078125,-46274.41015625,-47831.3671875,-25458.78125,-25615.1640625,-4186.15869140625,-26760.640625,-41287.91015625,168502.234375,192778.53125,40858.99609375,-2222.10302734375,232031.75,221876.703125,171152.640625,34957.62109375,35017.70703125,694428.75,694317.1875,0.0,0.0,0.0
15:40:14.582633,-49022.62109375,-64866.05859375,-52933.56640625,-56457.171875,299896.03125,-40413.44921875,-46170.33203125,-46262.69921875,-24366.595703125,-21212.982421875,-3000.357666015625,-26607.833984375,-40229.97265625,172830.921875,196930.4375,44986.140625,-1925.876220703125,236157.109375,225835.21875,175178.453125,38966.203125,39028.16796875,695575.9375,695462.625,0.0,0.0,0.0
15:40:14.584633,-48702.34375,-64353.80859375,-49064.19921875,-56462.4453125,307644.59375,-38446.9765625,-46079.3984375,-45116.41796875,-23702.791015625,-14872.5859375,-2269.045166015625,-26526.19921875,-39709.2265625,180878.3125,204722.28125,52879.3828125,-1795.6903076171875,243818.40625,233213.34375,183044.8125,46436.96875,46501.078125,697713.375,697602.5625,0.0,16237838.0,0.0
15:40:14.586632,-49063.57421875,-64732.02734375,-50693.7578125,-57028.703125,306148.34375,-39930.16796875,-46146.19140625,-46205.7421875,-24524.677734375,-16837.8046875,-3152.271240234375,-26643.330078125,-40566.16796875,179158.4375,203093.984375,51350.41015625,-2042.11376953125,241988.375,231483.28125,181522.078125,44801.23828125,44864.2734375,697243.9375,697131.4375,0.0,0.0,0.0
15:40:14.587632,-49513.76953125,-65374.734375,-55176.14453125,-57265.91796875,297471.3125,-42409.24609375,-46259.2109375,-47742.48828125,-25484.083984375,-23863.82421875,-4202.61083984375,-26771.28125,-41416.7578125,170138.953125,194341.296875,42548.8203125,-2266.720458984375,233093.078125,222906.828125,172708.296875,36290.5078125,36350.32421875,694805.625,694692.6875,0.0,0.0,0.0
15:40:14.589628,-49510.4609375,-65486.05078125,-57035.67578125,-56969.2421875,291890.90625,-42844.95703125,-46280.9375,-47869.9921875,-25447.873046875,-27293.365234375,-4163.44775390625,-26763.234375,-41256.34765625,164488.015625,188816.265625,36904.1484375,-2213.072265625,227529.328125,217507.875,167038.234375,30942.330078125,31001.07421875,693272.5625,693160.125,0.0,0.0,0.0
15:40:14.589628,-49002.68359375,-64860.6953125,-53699.83984375,-56427.57421875,296298.1875,-40443.84765625,-46177.30859375,-46245.171875,-24326.626953125,-22460.033203125,-2955.919189453125,-26614.5390625,-40172.92578125,169205.203125,193356.859375,41409.9609375,-1912.196044921875,232046.5,221845.3125,171575.59375,35337.44921875,35399.14453125,694529.9375,694416.0625,0.0,0.0,0.0
15:40:14.590629,-48675.07421875,-64332.44140625,-49618.7421875,-56434.55078125,304489.375,-38401.37890625,-46084.67578125,-45050.609375,-23642.16796875,-15680.8837890625,-2206.90283203125,-26530.400390625,-39639.30859375,177704.578125,201603.90625,49751.51953125,-1775.3934326171875,240185.625,229742.40625,180026.5625,43271.1953125,43334.5,696801.5,696690.75,0.0,0.0,0.0
15:40:14.592628,-49041.21875,-64706.3671875,-51132.15234375,-57016.09375,303306.875,-39856.8515625,-46150.484375,-46128.0390625,-24470.046875,-17384.74609375,-3092.006591796875,-26646.01171875,-40509.4765625,176300.703125,200289.875,48536.21484375,-2021.5487060546875,238695.8125,228434.1875,178929.265625,41953.0625,42016.6328125,696426.25,696314.375,0.0,0.0,0.0
